любимец # Один талантливый, другой, | Любимец взбалмошной удачи, | А третий наглый, молодой, | Меняет женщин, тачки, дачи…</s>
ветер # В самый центор мне охота | Вихря ось искривлена | Отразит всё селфи фото | Ты и ветер и стена</s>
возраст почтенный # Чаще люди, что на родине живут, | Не сменив свои родимые места | Возрастов почтенных достигают тут: | Девяносто, сто, и даже больше ста.</s>
человек # Чаще люди, что на родине живут, | Не сменив свои родимые места | Возрастов почтенных достигают тут: | Девяносто, сто, и даже больше ста.</s>
родимое место # Чаще люди, что на родине живут, | Не сменив свои родимые места | Возрастов почтенных достигают тут: | Девяносто, сто, и даже больше ста.</s>
внутренняя нежная сторона # бёдра кочевников трутся о сёдла | внутренней нежной своей стороной | но не порвать нам живущим осёдло | связь с породившею нас стороной</s>
о сёдла # бёдра кочевников трутся о сёдла | внутренней нежной своей стороной | но не порвать нам живущим осёдло | связь с породившею нас стороной</s>
кочевник # бёдра кочевников трутся о сёдла | внутренней нежной своей стороной | но не порвать нам живущим осёдло | связь с породившею нас стороной</s>
связь # бёдра кочевников трутся о сёдла | внутренней нежной своей стороной | но не порвать нам живущим осёдло | связь с породившею нас стороной</s>
сторона # бёдра кочевников трутся о сёдла | внутренней нежной своей стороной | но не порвать нам живущим осёдло | связь с породившею нас стороной</s>
с друзьями # Мысли могут измениться, | Дел плохих наворотить | И с друзьями заявиться, | До утра в тебе бузить!</s>
до утра # Мысли могут измениться, | Дел плохих наворотить | И с друзьями заявиться, | До утра в тебе бузить!</s>
мысль # Мысли могут измениться, | Дел плохих наворотить | И с друзьями заявиться, | До утра в тебе бузить!</s>
по судьбе # Надо меньше изливаться, | Разглагольствовать и ныть, | В отговорки одеваться, | По судьбе нахально плыть</s>
в отговорки # Надо меньше изливаться, | Разглагольствовать и ныть, | В отговорки одеваться, | По судьбе нахально плыть</s>
небо # Войти не смея в светлый храм | Луной прохладной засвечу, | И сердце небесам отдам, | Чтоб зажигали, как свечу.</s>
свеча # Войти не смея в светлый храм | Луной прохладной засвечу, | И сердце небесам отдам, | Чтоб зажигали, как свечу.</s>
в светлый храм # Войти не смея в светлый храм | Луной прохладной засвечу, | И сердце небесам отдам, | Чтоб зажигали, как свечу.</s>
луна прохладная # Войти не смея в светлый храм | Луной прохладной засвечу, | И сердце небесам отдам, | Чтоб зажигали, как свечу.</s>
сердце # Войти не смея в светлый храм | Луной прохладной засвечу, | И сердце небесам отдам, | Чтоб зажигали, как свечу.</s>
жилец # Теперь ни деда нет, ни дров, | Изба заброшена жильцами, | Не слышно шуток мужиков | И нет свечей под образами.</s>
свеча # Теперь ни деда нет, ни дров, | Изба заброшена жильцами, | Не слышно шуток мужиков | И нет свечей под образами.</s>
столь давнишний год # Теперь ни деда нет, ни дров, | Изба заброшена жильцами, | Не слышно шуток мужиков | И нет свечей под образами.</s>
под образами # Теперь ни деда нет, ни дров, | Изба заброшена жильцами, | Не слышно шуток мужиков | И нет свечей под образами.</s>
дрова # Теперь ни деда нет, ни дров, | Изба заброшена жильцами, | Не слышно шуток мужиков | И нет свечей под образами.</s>
пасхальный снегопад # Вязь снежинок, канитель | Кружевом струится. | Баловник мой апрель | Стужей в дом стучится.</s>
баловник # Вязь снежинок, канитель | Кружевом струится. | Баловник мой апрель | Стужей в дом стучится.</s>
кружево # Вязь снежинок, канитель | Кружевом струится. | Баловник мой апрель | Стужей в дом стучится.</s>
вязь снежинок # Вязь снежинок, канитель | Кружевом струится. | Баловник мой апрель | Стужей в дом стучится.</s>
канитель # Вязь снежинок, канитель | Кружевом струится. | Баловник мой апрель | Стужей в дом стучится.</s>
записка # Открываю я такую, | Прогуляться между строк, | И закладку небольшую | Вдруг увидела - листок</s>
между строк # Открываю я такую, | Прогуляться между строк, | И закладку небольшую | Вдруг увидела - листок</s>
листок # Открываю я такую, | Прогуляться между строк, | И закладку небольшую | Вдруг увидела - листок</s>
волна # Она стояла у причала, | Тиха, послушна и легка, | Волну у берега встречала. | Но... вот неведома рука</s>
ладья # Она стояла у причала, | Тиха, послушна и легка, | Волну у берега встречала. | Но... вот неведома рука</s>
у берега # Она стояла у причала, | Тиха, послушна и легка, | Волну у берега встречала. | Но... вот неведома рука</s>
тихий # Она стояла у причала, | Тиха, послушна и легка, | Волну у берега встречала. | Но... вот неведома рука</s>
мартовский нежный день # Синеет утреннее небо едко, | не спит как Мартовская кошка, | Дожди замедленно и редко, | стучат капелью мне в окошко!</s>
в окошко # Синеет утреннее небо едко, | не спит как Мартовская кошка, | Дожди замедленно и редко, | стучат капелью мне в окошко!</s>
мартовская кошка # Синеет утреннее небо едко, | не спит как Мартовская кошка, | Дожди замедленно и редко, | стучат капелью мне в окошко!</s>
утреннее небо # Синеет утреннее небо едко, | не спит как Мартовская кошка, | Дожди замедленно и редко, | стучат капелью мне в окошко!</s>
капель # Синеет утреннее небо едко, | не спит как Мартовская кошка, | Дожди замедленно и редко, | стучат капелью мне в окошко!</s>
старый дом # Вздыхают старые дома | В сугробах снега вдоль забора. | Сурова матушка – зима, | Да и весна придёт нескоро.</s>
снег # Вздыхают старые дома | В сугробах снега вдоль забора. | Сурова матушка – зима, | Да и весна придёт нескоро.</s>
суровый # Вздыхают старые дома | В сугробах снега вдоль забора. | Сурова матушка – зима, | Да и весна придёт нескоро.</s>
матушка # Вздыхают старые дома | В сугробах снега вдоль забора. | Сурова матушка – зима, | Да и весна придёт нескоро.</s>
в сугробах снега # Вздыхают старые дома | В сугробах снега вдоль забора. | Сурова матушка – зима, | Да и весна придёт нескоро.</s>
всходы # Кружат дни, проходят годы, | потеряем и найдём, | и любви польём мы всходы | нежным, чувственным дождём.</s>
нежный , дождь # Кружат дни, проходят годы, | потеряем и найдём, | и любви польём мы всходы | нежным, чувственным дождём.</s>
день # Кружат дни, проходят годы, | потеряем и найдём, | и любви польём мы всходы | нежным, чувственным дождём.</s>
год # Кружат дни, проходят годы, | потеряем и найдём, | и любви польём мы всходы | нежным, чувственным дождём.</s>
любовь # Кружат дни, проходят годы, | потеряем и найдём, | и любви польём мы всходы | нежным, чувственным дождём.</s>
невеста # Вот надумал я жениться. | И невеста мне нужна, | Чтоб умела веселиться. | И еще была нежна.</s>
прелестная гамма земная # Симфония чудная, нотами — свет, | Лучами прелестными гаммы земной, | Всегда драгоценен простой самоцвет, | Когда долгожданной он станет мечтой.</s>
красота # Симфония чудная, нотами — свет, | Лучами прелестными гаммы земной, | Всегда драгоценен простой самоцвет, | Когда долгожданной он станет мечтой.</s>
простой самоцвет # Симфония чудная, нотами — свет, | Лучами прелестными гаммы земной, | Всегда драгоценен простой самоцвет, | Когда долгожданной он станет мечтой.</s>
симфония # Симфония чудная, нотами — свет, | Лучами прелестными гаммы земной, | Всегда драгоценен простой самоцвет, | Когда долгожданной он станет мечтой.</s>
мечта # Симфония чудная, нотами — свет, | Лучами прелестными гаммы земной, | Всегда драгоценен простой самоцвет, | Когда долгожданной он станет мечтой.</s>
лен # Прялка вещая гудит, | Пряха сонная вздыхает; | Нитку тянет и молчит, | Тянет лён – и засыпает.</s>
прялка вещая # Прялка вещая гудит, | Пряха сонная вздыхает; | Нитку тянет и молчит, | Тянет лён – и засыпает.</s>
нитка # Прялка вещая гудит, | Пряха сонная вздыхает; | Нитку тянет и молчит, | Тянет лён – и засыпает.</s>
пряха сонная # Прялка вещая гудит, | Пряха сонная вздыхает; | Нитку тянет и молчит, | Тянет лён – и засыпает.</s>
с утра # Люблю, весна, твое дыханье | И голубые вечера, | Твою улыбку и молчанье | И лед на лужицах с утра.</s>
голубой вечер # Люблю, весна, твое дыханье | И голубые вечера, | Твою улыбку и молчанье | И лед на лужицах с утра.</s>
дыханье # Люблю, весна, твое дыханье | И голубые вечера, | Твою улыбку и молчанье | И лед на лужицах с утра.</s>
молчанье # Люблю, весна, твое дыханье | И голубые вечера, | Твою улыбку и молчанье | И лед на лужицах с утра.</s>
на лужицах утра # Люблю, весна, твое дыханье | И голубые вечера, | Твою улыбку и молчанье | И лед на лужицах с утра.</s>
под музыку метели # Кружились, удивляясь чистоте – | Светились безграничным счастьем лица. | Снежинки серебрились в темноте, | Пленила музыкой Зима-царица!</s>
чистота # Кружились, удивляясь чистоте – | Светились безграничным счастьем лица. | Снежинки серебрились в темноте, | Пленила музыкой Зима-царица!</s>
в темноте # Кружились, удивляясь чистоте – | Светились безграничным счастьем лица. | Снежинки серебрились в темноте, | Пленила музыкой Зима-царица!</s>
снежинка # Кружились, удивляясь чистоте – | Светились безграничным счастьем лица. | Снежинки серебрились в темноте, | Пленила музыкой Зима-царица!</s>
безграничное счастье # Кружились, удивляясь чистоте – | Светились безграничным счастьем лица. | Снежинки серебрились в темноте, | Пленила музыкой Зима-царица!</s>
к лицу # Сегодня братцы я напился | Мне конечно это не к лицу | Видно я сильно рассердился | Пьяному наверно все к лицу</s>
братец # Сегодня братцы я напился | Мне конечно это не к лицу | Видно я сильно рассердился | Пьяному наверно все к лицу</s>
память # Улыбнулся, вспомнил службу. | Простор - глазом не откинуть. | Верную мужскую дружбу | И память дала горю сгинуть.</s>
верная мужская дружба # Улыбнулся, вспомнил службу. | Простор - глазом не откинуть. | Верную мужскую дружбу | И память дала горю сгинуть.</s>
разворот # Улыбнулся, вспомнил службу. | Простор - глазом не откинуть. | Верную мужскую дружбу | И память дала горю сгинуть.</s>
служба # Улыбнулся, вспомнил службу. | Простор - глазом не откинуть. | Верную мужскую дружбу | И память дала горю сгинуть.</s>
простор # Улыбнулся, вспомнил службу. | Простор - глазом не откинуть. | Верную мужскую дружбу | И память дала горю сгинуть.</s>
внучка # В доме смех раздаётся, | Голос слышу родной, | Внучка звонко смеётся, | На душе вновь покой.</s>
голос # В доме смех раздаётся, | Голос слышу родной, | Внучка звонко смеётся, | На душе вновь покой.</s>
на душе # В доме смех раздаётся, | Голос слышу родной, | Внучка звонко смеётся, | На душе вновь покой.</s>
ожидание # В доме смех раздаётся, | Голос слышу родной, | Внучка звонко смеётся, | На душе вновь покой.</s>
в доме # В доме смех раздаётся, | Голос слышу родной, | Внучка звонко смеётся, | На душе вновь покой.</s>
канат # Канаты дней сплетают небеса, | А мы на них, как будто на качелях. | Летим за изумрудные леса, | Теряясь в надрассветных соснах, елях.</s>
за изумрудные леса # Канаты дней сплетают небеса, | А мы на них, как будто на качелях. | Летим за изумрудные леса, | Теряясь в надрассветных соснах, елях.</s>
небеса # Канаты дней сплетают небеса, | А мы на них, как будто на качелях. | Летим за изумрудные леса, | Теряясь в надрассветных соснах, елях.</s>
в надрассветных соснах # Канаты дней сплетают небеса, | А мы на них, как будто на качелях. | Летим за изумрудные леса, | Теряясь в надрассветных соснах, елях.</s>
как будто на качелях # Канаты дней сплетают небеса, | А мы на них, как будто на качелях. | Летим за изумрудные леса, | Теряясь в надрассветных соснах, елях.</s>
серенькая тучка # Дремлет серенькая тучка | В бледно - золотом тумане, | Как бесформенная штучка | В звёздном ярком океане.</s>
в звёздном ярком океане # Дремлет серенькая тучка | В бледно - золотом тумане, | Как бесформенная штучка | В звёздном ярком океане.</s>
в бледно - золотом тумане # Дремлет серенькая тучка | В бледно - золотом тумане, | Как бесформенная штучка | В звёздном ярком океане.</s>
светлый # Дремлет серенькая тучка | В бледно - золотом тумане, | Как бесформенная штучка | В звёздном ярком океане.</s>
бесформенная штучка # Дремлет серенькая тучка | В бледно - золотом тумане, | Как бесформенная штучка | В звёздном ярком океане.</s>
негасимой свет # Я познакомилась с тобой | В лучах неведомых рассвета. | И полетела за тобой | По бездне негасимой света.</s>
неведомый рассвет # Я познакомилась с тобой | В лучах неведомых рассвета. | И полетела за тобой | По бездне негасимой света.</s>
в лучах рассвета # Я познакомилась с тобой | В лучах неведомых рассвета. | И полетела за тобой | По бездне негасимой света.</s>
лето # Я познакомилась с тобой | В лучах неведомых рассвета. | И полетела за тобой | По бездне негасимой света.</s>
по бездне света # Я познакомилась с тобой | В лучах неведомых рассвета. | И полетела за тобой | По бездне негасимой света.</s>
эволюция # Материя - она не вечна | К гробу карманов не пришьёшь | Жизнь без Души, хоть и безпечна | Но Счастья в этом не найдёшь!</s>
материя # Материя - она не вечна | К гробу карманов не пришьёшь | Жизнь без Души, хоть и безпечна | Но Счастья в этом не найдёшь!</s>
к гробу # Материя - она не вечна | К гробу карманов не пришьёшь | Жизнь без Души, хоть и безпечна | Но Счастья в этом не найдёшь!</s>
карман # Материя - она не вечна | К гробу карманов не пришьёшь | Жизнь без Души, хоть и безпечна | Но Счастья в этом не найдёшь!</s>
счастье # Материя - она не вечна | К гробу карманов не пришьёшь | Жизнь без Души, хоть и безпечна | Но Счастья в этом не найдёшь!</s>
самосад # На малу уселся сват | Набивает трубку | Оцените самосад | Голубь ждет голубку.</s>
голубка # На малу уселся сват | Набивает трубку | Оцените самосад | Голубь ждет голубку.</s>
сватовство # На малу уселся сват | Набивает трубку | Оцените самосад | Голубь ждет голубку.</s>
на малу # На малу уселся сват | Набивает трубку | Оцените самосад | Голубь ждет голубку.</s>
трубка # На малу уселся сват | Набивает трубку | Оцените самосад | Голубь ждет голубку.</s>
корнилов # Воют хищники капитала, | Рыщут вдоль крепостной стены. | Белоруссия, ты устала | Быть обломком большой страны.</s>
рыскать # Воют хищники капитала, | Рыщут вдоль крепостной стены. | Белоруссия, ты устала | Быть обломком большой страны.</s>
белоруссия # Воют хищники капитала, | Рыщут вдоль крепостной стены. | Белоруссия, ты устала | Быть обломком большой страны.</s>
вдоль крепостной стены # Воют хищники капитала, | Рыщут вдоль крепостной стены. | Белоруссия, ты устала | Быть обломком большой страны.</s>
большая страна # Воют хищники капитала, | Рыщут вдоль крепостной стены. | Белоруссия, ты устала | Быть обломком большой страны.</s>
божия рука # Здесь леса, перелески, равнины, | Здесь закаты над тихой рекой, | И природа живые картины | Нарисует нам божьей рукой.</s>
живая картина # Здесь леса, перелески, равнины, | Здесь закаты над тихой рекой, | И природа живые картины | Нарисует нам божьей рукой.</s>
закат # Здесь леса, перелески, равнины, | Здесь закаты над тихой рекой, | И природа живые картины | Нарисует нам божьей рукой.</s>
природа # Здесь леса, перелески, равнины, | Здесь закаты над тихой рекой, | И природа живые картины | Нарисует нам божьей рукой.</s>
от жизни # Не бойся ты проблем, болезней, | Уж так бывает, к сожаленью, | Бери от жизни, что полезней, | Что не приводит к утомленью.</s>
к сожаленью # Не бойся ты проблем, болезней, | Уж так бывает, к сожаленью, | Бери от жизни, что полезней, | Что не приводит к утомленью.</s>
к утомленью # Не бойся ты проблем, болезней, | Уж так бывает, к сожаленью, | Бери от жизни, что полезней, | Что не приводит к утомленью.</s>
болезнь # Не бойся ты проблем, болезней, | Уж так бывает, к сожаленью, | Бери от жизни, что полезней, | Что не приводит к утомленью.</s>
дед # Мы столько многих побеждали, | При этом раз и не один. | Иди вон посмотри медали, | Мой дед когда то брал Берлин!</s>
медаль # Мы столько многих побеждали, | При этом раз и не один. | Иди вон посмотри медали, | Мой дед когда то брал Берлин!</s>
берлин # Мы столько многих побеждали, | При этом раз и не один. | Иди вон посмотри медали, | Мой дед когда то брал Берлин!</s>
раз # Мы столько многих побеждали, | При этом раз и не один. | Иди вон посмотри медали, | Мой дед когда то брал Берлин!</s>
люминал # Проживу по номиналу, | Предпочту, покой лелея, | Цицерона – люминалу, | Аполлону – Апулея</s>
аполлон # Проживу по номиналу, | Предпочту, покой лелея, | Цицерона – люминалу, | Аполлону – Апулея</s>
по номиналу # Проживу по номиналу, | Предпочту, покой лелея, | Цицерона – люминалу, | Аполлону – Апулея</s>
цицерон # Проживу по номиналу, | Предпочту, покой лелея, | Цицерона – люминалу, | Аполлону – Апулея</s>
предпочесть # Проживу по номиналу, | Предпочту, покой лелея, | Цицерона – люминалу, | Аполлону – Апулея</s>
век # И Наше Счастье век продлится, | Мы только рядом и вдвоём, | Ты мне поверь, Любви Царица, | Согрей меня своим огнём.</s>
царица # И Наше Счастье век продлится, | Мы только рядом и вдвоём, | Ты мне поверь, Любви Царица, | Согрей меня своим огнём.</s>
любовь # И Наше Счастье век продлится, | Мы только рядом и вдвоём, | Ты мне поверь, Любви Царица, | Согрей меня своим огнём.</s>
огонь # И Наше Счастье век продлится, | Мы только рядом и вдвоём, | Ты мне поверь, Любви Царица, | Согрей меня своим огнём.</s>
счастье # И Наше Счастье век продлится, | Мы только рядом и вдвоём, | Ты мне поверь, Любви Царица, | Согрей меня своим огнём.</s>
смолкая природа # Расцветёт не смолкая природа | Мир начнёт на глазах оживать, | И появится цель у народа | Хлеб растить, и в другом созидать.</s>
у народа # Расцветёт не смолкая природа | Мир начнёт на глазах оживать, | И появится цель у народа | Хлеб растить, и в другом созидать.</s>
тревога # Расцветёт не смолкая природа | Мир начнёт на глазах оживать, | И появится цель у народа | Хлеб растить, и в другом созидать.</s>
сомненье # Расцветёт не смолкая природа | Мир начнёт на глазах оживать, | И появится цель у народа | Хлеб растить, и в другом созидать.</s>
на глазах # Расцветёт не смолкая природа | Мир начнёт на глазах оживать, | И появится цель у народа | Хлеб растить, и в другом созидать.</s>
медалька # Она от гнева сжала зубы, | Пусть даже золота не пуд. | А нам девчонки наши любы, | Что нам медалек навезут.</s>
девчонка # Она от гнева сжала зубы, | Пусть даже золота не пуд. | А нам девчонки наши любы, | Что нам медалек навезут.</s>
золото # Она от гнева сжала зубы, | Пусть даже золота не пуд. | А нам девчонки наши любы, | Что нам медалек навезут.</s>
люба # Она от гнева сжала зубы, | Пусть даже золота не пуд. | А нам девчонки наши любы, | Что нам медалек навезут.</s>
от гнева # Она от гнева сжала зубы, | Пусть даже золота не пуд. | А нам девчонки наши любы, | Что нам медалек навезут.</s>
мать # Побелевшие седины тишины, | Побелевшие седины тишины, | Побелевшие седины тишины, | Матерями у обугленной войны.</s>
седина # Побелевшие седины тишины, | Побелевшие седины тишины, | Побелевшие седины тишины, | Матерями у обугленной войны.</s>
тишина # Побелевшие седины тишины, | Побелевшие седины тишины, | Побелевшие седины тишины, | Матерями у обугленной войны.</s>
россия # Побелевшие седины тишины, | Побелевшие седины тишины, | Побелевшие седины тишины, | Матерями у обугленной войны.</s>
у обугленной войны # Побелевшие седины тишины, | Побелевшие седины тишины, | Побелевшие седины тишины, | Матерями у обугленной войны.</s>
вышивка # Лисица сказку вышивала, | стежок один, стежок другой, | она про счастье много знала, | про трудности и про покой.</s>
про счастье # Лисица сказку вышивала, | стежок один, стежок другой, | она про счастье много знала, | про трудности и про покой.</s>
другой стежок # Лисица сказку вышивала, | стежок один, стежок другой, | она про счастье много знала, | про трудности и про покой.</s>
про трудности # Лисица сказку вышивала, | стежок один, стежок другой, | она про счастье много знала, | про трудности и про покой.</s>
про покой # Лисица сказку вышивала, | стежок один, стежок другой, | она про счастье много знала, | про трудности и про покой.</s>
в разнотравье # В этот час хорошо босиком | пробежаться, в росе утопая, | и упасть в разнотравье ничком, | запах цвета и мёда вдыхая</s>
в этот час # В этот час хорошо босиком | пробежаться, в росе утопая, | и упасть в разнотравье ничком, | запах цвета и мёда вдыхая</s>
цвет # В этот час хорошо босиком | пробежаться, в росе утопая, | и упасть в разнотравье ничком, | запах цвета и мёда вдыхая</s>
запах # В этот час хорошо босиком | пробежаться, в росе утопая, | и упасть в разнотравье ничком, | запах цвета и мёда вдыхая</s>
в росе # В этот час хорошо босиком | пробежаться, в росе утопая, | и упасть в разнотравье ничком, | запах цвета и мёда вдыхая</s>
на кустах # Пустило ярких «зайчиков» в лесах, | И проторило на траве дорожки. | Просыпало монисто на кустах, | Позолотило у берёз серёжки.</s>
на траве дорожки # Пустило ярких «зайчиков» в лесах, | И проторило на траве дорожки. | Просыпало монисто на кустах, | Позолотило у берёз серёжки.</s>
дорожка # Пустило ярких «зайчиков» в лесах, | И проторило на траве дорожки. | Просыпало монисто на кустах, | Позолотило у берёз серёжки.</s>
у берёз серёжки # Пустило ярких «зайчиков» в лесах, | И проторило на траве дорожки. | Просыпало монисто на кустах, | Позолотило у берёз серёжки.</s>
монисто # Пустило ярких «зайчиков» в лесах, | И проторило на траве дорожки. | Просыпало монисто на кустах, | Позолотило у берёз серёжки.</s>
танцор # Заводит хоровод утех, | Соперничества круговерть, | А из нее то тех, то тех | Танцоров вырывает смерть.</s>
хоровод # Заводит хоровод утех, | Соперничества круговерть, | А из нее то тех, то тех | Танцоров вырывает смерть.</s>
соперничество # Заводит хоровод утех, | Соперничества круговерть, | А из нее то тех, то тех | Танцоров вырывает смерть.</s>
смерть # Заводит хоровод утех, | Соперничества круговерть, | А из нее то тех, то тех | Танцоров вырывает смерть.</s>
за шею # Прохрипев довольно односложно, | Пальцами за шею вдруг впилась, | Ногти погружались так безбожно, | Кожу разрывая словно бязь.</s>
ноготь # Прохрипев довольно односложно, | Пальцами за шею вдруг впилась, | Ногти погружались так безбожно, | Кожу разрывая словно бязь.</s>
рябь # Прохрипев довольно односложно, | Пальцами за шею вдруг впилась, | Ногти погружались так безбожно, | Кожу разрывая словно бязь.</s>
палец # Прохрипев довольно односложно, | Пальцами за шею вдруг впилась, | Ногти погружались так безбожно, | Кожу разрывая словно бязь.</s>
на реке # Прохрипев довольно односложно, | Пальцами за шею вдруг впилась, | Ногти погружались так безбожно, | Кожу разрывая словно бязь.</s>
за полдень , неохотно # Он вставал за полдень, неохотно, | Кофею готовил с чабрецом, | И себя он чувствовал вольготно, | Сено запивая вдруг винцом.</s>
с чабрецом # Он вставал за полдень, неохотно, | Кофею готовил с чабрецом, | И себя он чувствовал вольготно, | Сено запивая вдруг винцом.</s>
винцо # Он вставал за полдень, неохотно, | Кофею готовил с чабрецом, | И себя он чувствовал вольготно, | Сено запивая вдруг винцом.</s>
в турцию # Почему кошка не ловит мышей, | Может чиновники зажрались. | Оно и понятно искуситель змей, | О размере бонуса догадались?</s>
искуситель # Почему кошка не ловит мышей, | Может чиновники зажрались. | Оно и понятно искуситель змей, | О размере бонуса догадались?</s>
чиновник # Почему кошка не ловит мышей, | Может чиновники зажрались. | Оно и понятно искуситель змей, | О размере бонуса догадались?</s>
о размере бонуса # Почему кошка не ловит мышей, | Может чиновники зажрались. | Оно и понятно искуситель змей, | О размере бонуса догадались?</s>
путевка # Почему кошка не ловит мышей, | Может чиновники зажрались. | Оно и понятно искуситель змей, | О размере бонуса догадались?</s>
полоса # Порхает, резко по косой, | Спиралью ветром вдруг закручен, | Затем внезапно полосой, | Вслед реже, - ко всему приучен.</s>
спираль # Порхает, резко по косой, | Спиралью ветром вдруг закручен, | Затем внезапно полосой, | Вслед реже, - ко всему приучен.</s>
ветер # Порхает, резко по косой, | Спиралью ветром вдруг закручен, | Затем внезапно полосой, | Вслед реже, - ко всему приучен.</s>
резко по косой # Порхает, резко по косой, | Спиралью ветром вдруг закручен, | Затем внезапно полосой, | Вслед реже, - ко всему приучен.</s>
песенка # Рисовать научит, | Книжки почитает, | Песенки разучит, | Вместе поиграет.</s>
внук # Рисовать научит, | Книжки почитает, | Песенки разучит, | Вместе поиграет.</s>
книжка # Рисовать научит, | Книжки почитает, | Песенки разучит, | Вместе поиграет.</s>
названая сестра , единственная # Будь словам и любимым преданной. | Для других же — чужой, таинственной. | Мне ж, в судьбе и тоске неведанной, | Стань названой сестрой, единственной.</s>
слово # Будь словам и любимым преданной. | Для других же — чужой, таинственной. | Мне ж, в судьбе и тоске неведанной, | Стань названой сестрой, единственной.</s>
полоса # Будь словам и любимым преданной. | Для других же — чужой, таинственной. | Мне ж, в судьбе и тоске неведанной, | Стань названой сестрой, единственной.</s>
семья # И пусть ваш день не омрачает | Моих высказываний слог, | Ведь в этот день вас поздравляет | Семья и я, и даже Бог!</s>
наталья # И пусть ваш день не омрачает | Моих высказываний слог, | Ведь в этот день вас поздравляет | Семья и я, и даже Бог!</s>
высказывание # И пусть ваш день не омрачает | Моих высказываний слог, | Ведь в этот день вас поздравляет | Семья и я, и даже Бог!</s>
в этот день # И пусть ваш день не омрачает | Моих высказываний слог, | Ведь в этот день вас поздравляет | Семья и я, и даже Бог!</s>
в день рождения # И пусть ваш день не омрачает | Моих высказываний слог, | Ведь в этот день вас поздравляет | Семья и я, и даже Бог!</s>
в сердце # Вьюга колыбельную запела, | Заметая все пути дороги. | В сердце струны тонкие задела, | Всколыхнула давние тревоги.</s>
дорога # Вьюга колыбельную запела, | Заметая все пути дороги. | В сердце струны тонкие задела, | Всколыхнула давние тревоги.</s>
тонкое задел # Вьюга колыбельную запела, | Заметая все пути дороги. | В сердце струны тонкие задела, | Всколыхнула давние тревоги.</s>
давняя тревога # Вьюга колыбельную запела, | Заметая все пути дороги. | В сердце струны тонкие задела, | Всколыхнула давние тревоги.</s>
