Пылай, полыхай, греши, | захлебывайся собой. | Как менада пляши | с закушенной губой.
Терпит страдания русский бурлак | Долго, веками сгибаясь. | Барин, увидишь могучий кулак, | В глупости собственной каясь.
Осторожность подругой давно уж зову, | Маскирую улыбкой разлуки, | Отношения в мыслях ни капли не рву… | Реагирую чутко на звуки…
Струился занавесок шёлк | волной летящей, | а нежность выла, словно волк, | в груди щемящей.
Буду ждать и к свету взывать, | Что лучами в сердце сияет, | Подарю любви благодать, | Пусть душа твоя помечтает.
Военною весною под Берлином, | заслуженных не получив наград, | он умирал отцом и гражданином, | советской нашей армии солдат.
Мы попросим его с нами | с душ сорвать лиху печаль, | чтоб она за облаками | унеслась далёко вдаль.
Раз в беде бросаем | Иногда своих, | То и получаем | От людей других.
Им не понять, как струи – сердца вдоль, | как ртуть из грязи создаёт луна. | Какая упоительная боль | в сверкнувшем лике каждого окна!
Декодер этот гейзер фраз | Переведёт в разряд чернил | И в недра электронных баз, | Чтоб всё компьютер сохранил.
Приходи ко мне во сне. | Для тебя свободен он. | Будем мы наедине. | Никого не пустим в сон.
Капель стекает под уклоны, | Чуть зеленеют к солнцу бугорки, | Проснулись лапчатые клены, | Проснулись ивы прямо у реки.
Вот взвились и полетели, | Что твой сокол в облаках! | Красота ямской артели | Вожжи ловко сжал в руках
Выпивают по второй. | При таком демарше, | Слово взял уже другой, | Что того постарше.
Возможно, праздный обыватель | Не примет к сердцу мой порыв | Он безучастный наблюдатель | Не внемлет мой души порыв
Или вспомнит тишина | позабытые признанья, | и из прошлого Она | возвратится на свиданья?
Морозами опять стращает нас | И снегом снова завалить грозится | А через день задор его угас | И потекла по улицам водица
Засыхая каплей грязной, | Зависть след свой оставляет…. | А враньё цепочкой связной | В себя верить заставляет….
Без меня ты расцветешь, | Новый план на жизнь и рвение | Для себя приобретешь, - | Вот и все стихотворение.
Я, мне свойственной манерой | От которой взор лучится, | Вдруг решился полной мерой | Взять тебе и объясниться.
Она дурачиться любила, | Но дурой точно не была! | Мужчин легко с ума сводила, | Легко за поводок вела!
Что до пересудов – мне до фени, | Верю: не альфонс ты и не зек. | Если б не лохматые колени, | Не рассталась бы с тобой вовек.
Но пятнадцатого года | В шумных кликах торжества | Свой пожар и блеск похода | Запивавшая Москва!
Куда он их ведёт | И что за этим скрыто, | Кто их туда зовёт, | Или там что забыто?
Кот ученый ей вещает: | -Буся, посмотри, вот ключ. | Буся недоумевает: | -Тут ручей, и он текуч!
Не желайте людям зла, | Кровожадными не славьтесь. | Пусть покинет душу мгла, | От обид своих избавьтесь.
Вода целует нас в уста | Готовя нас к покою | Земля безвидна и пуста | Дух божий над водою!
Лбом к стеклу, к груди ладонь, | Чтоб сдержать и остудить | То, что вспыхнет, только тронь. | Но не слёзы стану лить.
А третью ноту не скажу я | Четвертую отдам врагу | На пятой ноте помогу я | Всем чем лишь только я смогу
О, дитя мимолётного лета, | Успокой синеву своих глаз, | И покуда не видно рассвета, | Слушай матери любящей глас.
Жаль, всё обернётся драмой. | Хотя не обидел Бог лицом, | Она никогда не станет мамой | И никогда не будет он отцом.
Какая притягательная тайна | Содержится в цветочных лепестках?! | Их трепетность настоль необычайна | Несорванным цветением в лугах.
Пандемии не дал волю, | Первым в бой пошёл Китай, | Вирусу создали долю, | Просто лапти откидай.
Твой бархатный взгляд | Манит меня. | Какой аромат! | Светлее огня.
Ветер терзает, | Путает волос. | И замирает, | Только, мой, голос!
Даже своего единого Творца | слушать откровенно перестал. | Черты доброго в прошлом лица | удивлённый Создатель не узнавал.
Лишь она не лжёт, покуда | Все другие лгут, | Совершая правды чудо | Днём и ночью тут.
Любовь к сердцам притронулась крылом, | Над миром синей птицей закружила. | На зорьке посетила каждый дом, | Святым перстом очаг благословила.
Лишь утверди закон сухой, | Полезут люди с разным вздором. | Кто говорит, что он плохой, | Тот, значит, был уже танцором.
Я метаюсь, кружусь по свету, | Чтобы кто-то меня нашел. | Но вдруг целого больше нету? | Я последняя, кто не ушел?
Пусть даже ядом темных вод, | Его изрезана петлица. | Король взошел на эшафот | За ним зачеркнута страница.
Давно живём мы в городах – | Полу-манкурты. | Тайга нам видится во снах, | Забыли юрты.
Не грусти, мое сердечко! | На гимнастику, гребцы! | Подготовься к делу, печка, | Будем жарить голубцы.
Чтобы цены не скакали, | Так как нам их не догнать | И путевочки давали, | и могли мы отдыхать.
Страданья, много ль или мало | Дано нам смелости, отваги? | Но я всегда душою знала, | Что мы поднимем гордо флаги…
Никто другим не помогает, | Своих изъянов не замечает. | Лишь своё эго потешает | Да своё брюхо наполняет.
Но пока молчит народ, | Гнёт покорно спину, | Бережёт своих господ, | Платит десятину.
Осенний стелет листопад, | ЗалИты улицы дождём, | Температуры перепад | И листья прыснули огнём.
Влажный ветер веет псиной, | В роще снежные клочки, | На припёке под осиной | Белоногие сморчки
И как сегодня всё далёко, | Что совершалося вчера: | Стремленье дум, борьба без прока, | Души бедовая игра!
-Человечество, ты куда? | - Да тут рядом, за колбасой. | - Ну а как же мечты звезда? | - Ты иди, не мешай, босой.
За Агасфера сразу трое , | Рашанский , Коля и Макар . | Умчались к тридевятой Трое: | Орфей , Илия и Икар .
Как мы до мафии скатились? | Не замечаем до сих пор? | И с этим фактом все смирились? | Но тут с свободой перебор
Полежав с минутку, | Начал размышлять. | Хорошо б желудку | Что-нибудь принять!
Еду в завтрашний день – на кровати | И прощаюсь с законченным днём, | А над нами звезда Урусвати | Фиолетовым светит огнём.
Чуть трепещется в теле, | Нету сил у него, | Проявлять себя в деле, | Не смогло оттого.
Сколько ждать так перемен? | Нас забрали уже в плен. | Может сделаем обмен | И отруби этот член?
Проживает кошка в Чили, | А сейчас живёт у нас, | Нам Дикарку подарили – | Эта кошка суперкласс…
Вот жизни год прошел, | Весь в суете хлопот, | И, что я приобрел, | Господь лишь разберет.
Теченье опальных веков, | Не знающих музыки вечной. | К сиянию каждый готов | Сонаты, прекрасно-беспечной.
Весеннее солнце желанно, | С лучом посылает тепло. | И сердце полюбит нежданно, | Всем предсказаниям назло.
Жажда мир осилить билась, | Чтоб себя в нём заявить. | На осколочки разбилась, | Не сумев, что есть ценить.
Деревья, птицы и цветы, | И Небо нежно - золотое, | Необычайной красоты | В гармонии и непокое.
Он с палубы вскоре, | Будет падать в воду. | Его - Ласкало море! | Вверх ногами с ходу.
Держа меня, печальную, за руку, | Король слова с волнением говорил | И, сознавая девичью здесь муку, | Меня невольно сам приободрил
Прекрасна как утренняя звезда, | Что холодом греет весной, | В полярных сияниях льда | Пустыни издавна людской.
Прервутся сны, что душу душат. | Начнется всё, чего хочу, | И солнце ангелы потушат, | Как утром - лишнюю свечу.
Моё сердце не приемлет | болтовню и пустоту, | когда спят все-оно дремлет | и вмещает красоту
мы создаём свой симбиоз… | в грехах пытаясь возродиться… | и прогнозируя вопрос… | желаем самоутвердиться…
Горько мне от любви безответной. | Потеряла совсем я покой. | И не сплю до поры предрассветной | Лишь сердечко стучит как прибой.
Бессмысленно, не делая шагов, | Себя через колено не ломая, | Считать, что к переменам ты готов, | Лишь на счастливый случай уповая
А где ты была, бродяга? | В какие миры летала? | А где же твоя отвага? | И воля - крепче металла?
Ива склонясь | К водам речным, | Словно молясь | Духам лесным
Чтобы голос остался твой цел, | пусть он станет отзывчивей всех, | чтобы ветер в костях твоих пел, | как в дыханье — тростник и орех.
Но этот факт становится другим | Весьма уже отличным от былого | Хотя и выглядит вполне благим | И не отличным от того: живого
Всё станет на свои места, | Вернётся на свои круги. | Поверь — и сбудется мечта, | Спеши — но только не беги.
Филида с каждою зимою, | Зимою новою своей, | Пугает большей наготою | Своих старушечьих плечей.
Сыплет черёмуха снегом, | С ветром летят лепестки. | В поле склоняясь к побегам | Спрячу себя от тоски.
Два ведра домой грибов привёз, | насолил, нажарил, насушил. | Впечатление яркое всерьёз. | Трутовик нисколько не грешил.
Молния громом грохочет, | Ветер срывает плоды. | Дождь пошёл ливнем, хохочет, | Топит мои все труды.
Я со временем уехал в Тамбов, | Тихо здравствую, лечу геморрой. | И ужасно ненавижу рабов, | Да и весь рабовладельческий строй!
Если всё же решил умирать, | И тебе показалось заочно, | Не забудь бельё постирать, | Послезавтра начнётся точно!!!
И я наивною казалась, | Открыв входную ему дверь, | И оттолкнутся не пыталась. | К чему же слёзы лить теперь?
Он гнал торговцев с синагоги, | И фарисеев проклинал. | И книжников раскрыл дороги, | Кто смыслы бога искажал.
Укроет мрак дома, родных, | Застынет взор стеклянных глаз, | А всех оставшихся в живых | Ждет скорби перманентный час.
Окроха эта прямо к лету | Вкусна и в меру холодна | Люблю её: вкуснее нету | Поэтому и съел до дна
Стакан граненый водки, | Чтоб утолить печаль. | Мне б тепленькой погодки | В нутри себя, но жаль
Как люблю тебя, сестренка - | я твой старший брат. | Высохла уже пеленка - | этому я рад.
И в зоопарк хождение, | И в цирке удивление, | И кораблекрушение, | И из воды спасение.
Солнышко в окне нарисовалось… | Даже днесь и небо голубей. | Утречко по веси расплескалось, | Как на взлёте пара голубей!
Среди глупцов нам жить нескучно, | Всегда найдётся повод посмеяться, | Пусть выглядит сей факт и ненаучно, | Но мир весь заставляет удивляться.
Она становится ферзём, | Сумеет коль дойти до края. | И встанет рядом с королём. | Восторг — достигла пешка рая.
Мать в том не видела вреда, | и не возникло ни вопроса – | мне грудь тяжёлую тогда | дала жена каменотёса.
Мне с тобой нелегко, поверь. | Между нами глухая стена. | Хочешь, все секреты доверь, | Посидим вдвоём у окна.
Откроется в затмение коридор, | Как редкое природное явление, | Но вглубь себя лишь обращая взор, | Находит каждый человек спасение.
В идилии всех любящих семей | Где клен не наглядится на рябину, | Жена из женской слабости своей | Увесистую делает дубину.
В голове конечно пусто, | Про науки так скажу, | И мыслей в бошке негусто, | Тут понятно и ежу
Шакал прищёлкнул языком, | Его попытка не удалась, | Фазан прекрасен и с умом, | Идея обмануть сорвалась.
Жив-изчезнал, Дан устат, | формен шут, не чака. | Социал-ах-демократ – | като жаба квака!
И будет ветерок качать | Сарафанистый фасон. | Ты будешь нежною стоять, | Создавая свежий фон.
Мне маршрутчик не отдал сдачи | Моитвируя, тем, что он, - | Обещал для тещи - версачи, | Гранд-купальник, ура-чемпион.
Вижу я свое одиночество, | И любовь, как грусть, безответную. | Не хочу я верить в пророчество, | И в судьбу свою беспросветную.
Глядь цветочек появился, | В доме стало веселей! | Глядь еще один родился, | Стало надвое теплей!
Сценарий сам писал… понять | В героях… русскую натуру… | Наш фильм… за рубежом признать: | На «Оскар»… выдав режиссуру!
Все не то и не так, | Знаю, сам виноват. | Кабы ни был - дурак, | Восклицал бы виват.
я заметил в небе | маленький изъян | сообщил на хлебе | важный таракан
Вождей Советских имена | Нам забывать негоже! | Россия древняя страна. | Храни Россию, Боже!
Слезы матерей, сестренок, | Крепкие слова отцов | Пробирали до печенок | Необветренных юнцов.
В наше время распутства и пьянства | В среде нынешней сей молодёжи | Мы достигнем лишь уровня чванства | Будем важничать Да корчить Рожи
Наладится погода в нашем крае , | Жара еще порядком надоест . | И я увижу мини на Данае , | Купальник фирмы сувенир инвест .
Давнишних дней пропал и след. | Его мне не сыскать. | Как ;не вернуть прошедших лет. | И молодую стать.
На юге вновь шумит весна, | в Сибири же зима лютует. | Мы ждём придёт и к нам она, | уже теплее ветер дует.
Блеклый цвет фонаря, | Желанное нами солнце | Жизнь живущая зря, | Разобьёт в сердце оконце
На далёких островах | Отдыхали мы с тобой. | В незнакомых нам словах | Слышался морской прибой.
Я хочу быть только рядом, | Видеть блеск в твоих глазах. | Любоваться твоим взглядом, | Чтоб летали в облаках.
Где в небо брызжут краски, | И пахнет обновлением, | Где оживают сказки, | Сверкая пробуждением.
Высоцкий был великий бард, | До сих пор живет в сердцах. | Раздал судьбе колоду карт, | Но проиграл ей впопыхах.
Скрыла берег кромка льда, | Обрамляя воду; | Но сегодня вновь вода | Обрела свободу.
Видя, как над могилой глумятся, | Как кресты валят, будто бы лес. | Да, чему нам теперь удивляться, | Ведь вселился, похоже, в них бес.
и я ни в городе Иван | ни в дурке Селифан | а я Обломов на диван | борюсь Левиафан
Священнодействие возможно | смиренномудрию вослед. | Легко, легко, лишь чуть тревожно | дробится августовский свет –
Сладкой жизни хотелось всем, | Но увы получать одну, | Если молодость без проблем, | Значит в старость вести войну!
Как султанша себя ведёт. | Парням места определяет. | В ней кровь цыганская течёт. | Может ей это помогает.
Нехорошо, об этом зная, | Считать, что в целом - хорошо | Жить на земле, не понимая, | Что так считать - нехорошо !
Ненависть лишь я воспел | Как Святыню, где основой - | Принцип наименьших дел, | Ставший Благовестью новой!
С ностальгией вспоминаю | Светлый праздник – Первомай; | Я по нем, увы, скучаю, | Ты, читатель, так и знай.
И насытившись, как хлебом, | Солнцем, ветром и дождём, | Мы, между землёй и небом, | За Весною вслед пойдём!..
Ручья журчанье породило, | Твоих мечтаний нужный тон. | А солнце мая уже лило, | С под неба птичий перезвон.
Может ждет с армии кого-то, | Может боятся знакомиться с ней. | Девушка грустила от чего-то | И находилась между двух огней.
Так жизнь пролетела в работе, | И откуда-то старость взялась. | Некогда жить я в цейтноте. | Жизнь мимо меня пронеслась.
И вспоминаю как прохожий, | так, без былого интереса: | - Стоял поэт, на грусть похожий. | Не смог, братва, убить Дантеса.
И вот ты став рабом привычек | скользишь по горке прямо в ад | Где нет ни фомки ни отмычек | Ни то что уж пути назад
Она от мира отрешалась, | При храме своего отца | И, хоть там главною считалась, | Ответ давался чрез жреца.
Уменье жить не обижая | Безгласных тварей на земле | И никому не угрожая | Не обвиняя людей во зле.
Цветёт картошка в огороде. | Петуний полный палисад. | Живут с надеждами в народе. | Хозяин-урожаю рад.
Семьи волков притон вчера открыт, | Удастся ли сегодня травля наша? | Но вот русак сверкнул из-под копыт, | Все сорвалось - и заварилась каша
Да и не собирался он | На выезд никуда - | К друзьям лишь ездил на поклон | В другие города.
Горела коричневым пламенем печь, | Имя стало пропуском в ад. | Танки рычали, под шипящую речь | Медленно тлел Ленинград.
Ей-ей-ей может не надо | Понятнем время/ещё рано | Ей-ей-ей может не надо | Понятнем время/ещё рано
Вы в памяти людской живёте, | Ласкает души дивный стих, | Поэтов Вы тропой ведёте, | Звездою служите для них.
Я смотрю в телевизор | Что лишь страх нагоняет, | Что-то долго провизор | Что мне жрать предлагает.
На кладбище унылая погода, | Здесь праздники навек отменены, | Высотский здесь, недалеко от входа, | Встречает среди этой тишины.
Лишь с тобой мне будет жизнь прекрасна, | Лишь к тебе душа моя лежит. | И разлука станет не напрасна, | Коль судьба опять соединит.
Нет счастья на частной земле, | Она не родная, чужая. | А сколько там башен в Кремле – | Плевать, от Москвы до Алтая!
банку из под палтуса пиная, | помяну забытого вождя, | вот и вся душа моя пивная - | кружка пены в дырках от дождя.
Блеяньем всеобщей лени, | Осколком выбитым стекла. | Просто вышедшей из тени | Биссектрисою угла.
Давно уж, в глубине земли, | Под грудой сваленных камней, | Двенадцать грешных погребли. | Дурную славу вместе с ней.
Потехе - час, работе - день | По времени от сих, до сих | Вы позабудете про лень | Но вспомните про этот стих…
И моих ко всему охлаждений – | Я с природою здесь заодно: | Отойду от былых увлечений – | Мне иного, увы, не дано!
Я не боялся его глаз, | Но тело моё тряслось. | Израсходовать весь запас | Чудесный ему пришлось.
Тут сажать не показуха | Вовремя успеть | Тут важна весной движуха | Не фиг песни петь
Меня навек ты покорила | Волшебной Радостью земной, | В тебе сияет жизни сила, | Прошу тебя, ты будь со мной.
На Новый Год желаем мы привычно, | Чтоб худшее убралось в Старый Год, | А Новый Год – желаем, как обычно – | Пусть радость и удачу принесет!
А вот в небрежном вдохновенье | У гения чудеса звучат, | И вот Сальери в упоенье | Завистливый подносит яд.
Режим избрал для бега новый, | Когда в безлюдном парке мрак. | Поймал дотошный участковый. | Решив, что дедушка - маньяк.
И жёлтый ситец царственно нашит, | И пятна не пугают и туманы, | Бязь королевский палантин вершит, | И в золоте пейзажные карманы.
Здесь желается славить Христа, | Быстрой жизни замедлив теченье. | На Руси всем Святые места | Обещают Господне прощенье.
когда столько явных смертей | в дальнейшем уже не пугают | и массы безумных людей | друг друга в пылу убивают
Мне не снятся ночами другие, | Излечился от прежних утех. | Лишь короткие фразы сухие | Отпускаю для этих и тех.
Гаванская Победная Сигара… | Как псевдоним волнующе звучит! | Прочь самокрутки, запах перегара — | Накал воображенья нарочит.
Где у проселка куст рябины | Горит покинутым костром, | Звенит червонный лист осины | Дорожным долгим бубенцом.
Взметались искры красным роем. | Костёр ярился и трещал, | Чоморец выглядел героем, | Рождённым пеной между скал.
И она на вкус - вкусняшка, | Откусить - так лепота. | А дрожала как бедняжка, | Когда трогал у моста ...
Проснулся я, а я исчез, | совсем исчез -- и вот | в свою постель смотрю с небес: | лежит один живот.
Странно, вдруг настала тишина, | после солнца сразу потемнело. | Серая, угрюмая стена, | двигает степенно своё тело.
Зря согрел сей росток | Неба ласковый свет, | Человек как цветок, | Просто был пустоцвет.
Слова, что льются из уст, | Можно слушать бесконечно. | И разум абсолютно пуст. | Услада для ушей навечно.
Воздух, что для дыхания мне, | Голубеет в высотах небес. | Взгляд стремлений к объятиям вне | К тем высотам сквозь тучи пролез.
Повыше – более заметен, | Есть повод россказням и слухам, | Простор для домыслов и сплетен, | Но нет причины падать духом.
Я, на тебя не гляжу, | Так как, иду стороной. | Но, я, себя не свяжу, | Только, окликни родной
Во мне солидность каравана, | а чувства трепетнее птах. | И что отраднее романа | с любимой грезится в мечтах?!
Законы моды мы с рожденья | Все соблюдать обречены – | В ней жизни нашей настроенья, | Как в зеркале, отражены.
К ветеринару на приём | Пришли с собаками хозяйки. | Пока закрыт дверной проём, | Те в коридоре травят байки.
Только в снах могу вернуться | В сладкий мир из летних гроз, | Чтобы сразу окунуться | В мир моей мечты и грёз
Детьми к семье пригвождены, | Мы бережем покой супруги; | Ничто не стоит слез жены, | Кроме объятия подруги.
Раз мама и Вовочка с мокрым зонтом | Зашли в электричку ненастной погодкой. | Присели на лавку с вагонным ментом. | Напротив, уселся мужчина с бородкой.
Опять канонада молчать перестала. | Меняет приказ телефонная нить. | А фундаментальные свойства металла | На атомном уровне не изменить…
Топнул царь, ногою пнул | Весь от ярости дрожит | Он ведь мёда навернул | И как пчёлка не жужжит!
Ничто в этом мире не ново - | Такое видали не раз. | А грабли - так это основа | Каких-то, во власти, пролаз.
От улыбок - сияния свет ... | От ошибок - печальный дым ... | От волнений - кружение лет ... | От эмоций - вальс молодым ...
Они прочь не сойдут на полдороги | и в трудный час друзей не предадут, | развеют заблужденья и тревоги | и щедрый мир созвучий создадут.
В одно мгновенье закачался, | Дай, Господи, мне столько сил, | Чтоб Человек во мне остался, | Который людям все б простил.
Могу средь дня, забыв про дело, | Лишь по движенью пальцев тонких | Лететь к Тебе, ведь Ты хотела | Сказать о чувствах своих звонких.
В необозримом жизни хоре | Встаёт луна в тиши ночной, – | Я слышу, будто мира Море | Рокочет, говоря со мной.
Можно Думу поменять | Можно Президента | Кто же в Мире людям мать | Ждём пождём момента
И всю жизнь внезапно озаряя, | Тонкий луч на мостовую лёг – | По нему прошла, легко ступая, | Девушка с нарциссами у щёк
Но отощалая ослица | Стоит, не замечая снедь, | Она теперь собой гордится, - | Все на неё идут глядеть.
Живи сегодня, здесь, сейчас. | Дыши ты воздухом свободы. | Для радости возьми ты час, | Оставив за окном невзгоды.
Ангел спит на облаке, | Сладкая пыльца. | Ангел спит на облаке — | Чудо без конца.
Не чудо ли, молчать не в такт | и барабанить пульсом в вены. | Так, словно ты закончишь акт | и тишиной падут все стены.
И в лабиринте потерявшись, | Устав от вечной мерзлоты | И вдоволь яда наглотавшись | Вдруг о душе взмолился ты.
С трудом ширинку расстегнул, | В снег начал поливать. | Мороз за яйца хватанул, | Да так, что стал орать!
Был | Друг - | Взвыл | Вдруг!
Он синичкам помурлычет на балконе, | Птицелов он никакой, как и жених. | Но в питание вникает всесторонне - | Покупаю на себя, как для двоих
Байден, силы в тебе остались | Хоть слегка старовата стать | Ты озвучил, о чём шептались… | Смог убийцу, убийцей назвать.
В атаку ватагу повёл командир, | но был обезврежен снарядом, | в музее покажут дырявый мундир, | не парься, невеста, с нарядом.
Зоологии он неизвестен . | На хера изучать подлеца ? | Он уместен , особо уместен | Как закуска лихого бойца .
Убрать, отшить и выбросить навечно | Без сожаленья из календаря сперва. | И заменить их чем-нибудь, конечно, | Пусть будет воскресенья лучше два.
Конечно, хотелось бы больше. | Заслуги, я думаю, есть. | Но, я же не шляхтич, что в Польше, - | Москвич я, - была бы лишь честь.
Не хорошо, когда интим вне брака. | Девчонкам не мешало б это знать. | А если же решается, однако, | Тогда ей только на себя пенять.
Север памятен Югу, | как роман предисловью. | Мы придумали вьюгу | и назвали любовью.
Может быть немного неэтично, | Рассуждать о нации своей, | Разделяя вольнодумно лично | Родовые признаки людей.
Если не девой, тебя полюблю, | женщиной знавшей любовь. | Ты, капитаном стань кораблю, | и возродись вновь и вновь.
Чтоб без дрожи и затей | Думал о замене | Как о пользе для людей | При достойной смене.
Подари мне минуту счастья, | Отогрей любовью своей. | В жизни было много ненастья, | Но с тобой становлюсь я сильней.
Я мысленно каюсь, | За жизненный лед, | И вновь возвращаюсь, | Где память живет.
В «Гуляй поле» разгулялись внуки, | Держат лавки и игорный дом – | Не нужны им язвы от науки, | Дух геройства внукам незнаком.
Как посмотришь, что творится, | Кем и кто сегодня стал. | Будешь Богу лишь молиться, | Чтоб их, как то, обуздал!
Не исчерпан подлости запас, | Тайники заполнены без меры, | Ничему не учит опыт нас, | Не страшат истории примеры.
А на ели тенькает синица, | у неё есть, что мне рассказать, | как снег таял и его водица | новые ручьи могла создать.
Как празднично сад расцветила сирень | Лилового, белого цвета. | Сегодня особый - сиреневый - день, | Начало цветущего лета.
Поздравляю Танюшу Нистюк, | Повстречались мы здесь, на сайте. | Она преданный и верный друг, | И вы тоже ей пожелайте
В жизни все меня боятся, | Видят дух бойца во мне, | Кто захочет состязаться | С тем, кто с детства на войне?..
Где же мне любовь найти | На Земле широкой, | Чтоб на жизненном пути | Быть не одинокой?
Взорванное место подорвали , | Динамитом злобы остряки . | И творца стихов оклеветали , | Где молились богу казаки .
О, поцелуи — насильно данные, | О, поцелуи — во имя мщения! | Какие жгучие, какие странные, | С их вспышкой счастия и отвращения!
Устал я плыть по океанам | На этом мерзком корабле. | Меня запутали, обманом | Позволили упасть стреле.
Стая чаек пролетала , | над капризною водой, | вместе с кейсом уплетала , | глубина подарок свой.
Мечта пришла ко мне из сна, | Ведь то не редкость в нашем мире. | Сакральных строчек письмена | Ее считал в прямом эфире.
А судьба мне колени гнёт, | И вместе со мной умирает, | По лицу меня больно бьёт, | И вдаль от меня убегает.
Ночная бабочка летела, | Фонарь задевшая, крылом. | И, падая, сказать успела, | Всё лучшее всегда потом.
«Врать, наверно, мне устала, | Будто кругом голова, | И в каком ты сне видала, | Чтобы в лес везли дрова!
О нежности весенней солнца, | Что согревает, а не жжёт… | О том, что выпито до донца | И только изредка придёт
Ты смуглА, как древняя богиня, | Кожа тёмно-бронзовых тонов. | Ах, любви моей хмельной шахиня, | Женщина из самых сладких снов.
Время движет их крылами | И губя в себе без счёта | Их о землю бьёт меж нами | С высоты его полёта
Негаданно, нежданно | Пришла ко мне любовь, | Наверно, слишком рано | Мне опьянила кровь.
Туда, где синий небосвод, | И облака лебяжьим пухом | Кружат неспешно хоровод | Под стать сентябрьским завирухам.
На игрушку зверь похож – | Посмотрите на зверька, | Он действительно хорош – | Чуть похож на хомячка.
Было дело, домой провожал, | Охмурил ли, ...нет, сам охмурился, | От дурных я всегда убегал, | А была бы умна, я б женился.
А может быть твоя душа любила | Всего с чем в жизнях мыслью схож, | Окрасить и поднять из ила, | Всего, что сразу не найдёшь.
Жизнь вино торопливого лета, | Не испито оно до дна. | То искриться оно до рассвета, | То как месяц она бледна.
Если вы сидите у окошка, | Волге или Дону дайте знать, | что их любите хотя б немножко – | и на душу ляжет благодать.
Жук сказал мне короед, | В бархатном жилете, | Что меня прекрасней нет | Никого на свете.
И эти сады зашептали. | О чем то своем и своем. | И эти последние дали. | За первым весенним ручьем.
Тут надежда, как будто, мечтала | Поскорее дожить до субботы | И, как музыка, жизнь напевала | Обгоревшие звонкие ноты.
