О Оксана, куда? Куда ты пришла, родимая! | Подпивая, всегда подпеваешь словам Владимира... | Без фамилии. Утаить, для остроты, заманчиво. | Не пройдёт и пол года, тут я боюсь заканчивать. # Не пройдёт и пол года, как ветреным вечером</s>
Потому и громил | На Чудском латинянскую чёрную свору | В латы вкованных псов, | Накормил ими лёд досыта-допьяна. # Александр Невский</s>
…И радость безмолвного быта – | гордыни священный исход, | и лишь милосердье добыто – | страданий целительных плод… # Экзистенциальности свет</s>
Посол их в отпуск просто едет, | не консультация, а так, | там не болтается Медведев, | почетный пост нашел, мудак. # Разные заботы</s>
Но прохлада - недолгая радость! | Роскошь утра! А днём снова зной! | Всё-равно лето - это та сладость, | Когда счастье повсюду с тобой! # Лето - это, правда, маленькая жизнь!</s>
Порывы ветра, вдаль гоняли, | Случайные, на небе облака… | И где-то в своих дебрях затеряли, | Минувшие, давно уже века… # Небесный олень</s>
Что же, грустить я боле не буду, | Выдыхая дым сигарет | Радость я снова, конечно, добуду | Нет нужды протирать парапет. # Робким шепотом ливень займется</s>
Она для нас сверкнула лучшей гранью | И скрылась с чемоданчиком в руке. | Осталось лишь стакана дребезжанье | Да легкая улыбка вдалеке. # Дорожные нечаянные встречи...</s>
Наркота пацана сгубила наркота | Вроде как бы бросил но не перестал | И разбилась о земь совесть что была чиста | И осталось возле где то доброта # Наркота</s>
Да, соловей мне правду говорит, | Летящею мелодией ветвей. | Твой ангел вечным духом промолчит, | Витающим над нежностью моей. # Не хлопнув дверью, выйти иль войти</s>
Нахлынуло воспоминанье... | Тот робкий поцелуй в ночи, | и, обнаженных тел+ слиянье | при свете тающей свечи... # Воспоминание</s>
О,Любви- не- молят!О-Любви... | Говорить, словами-не- пристало! | Ты,однажды...Вспомни-обо-Мне! | Может быть,начнём с- Тобой-сначала?! # Нас, с Тобой- венчали-Небеса</s>
Уже свершилось, что свершилось. | Нас разделили времена. | Мы в этот миг с тобой забылись, | Нас унесла любви волна. # Безгрешная любовь</s>
Мыши не кажут и носа сюда, | Он их отвадил давно навсегда. | Жизнь у кота беззаботна теперь, | Лень даже выйти на солнце за дверь. # Кот из мясной лавки</s>
Рукою ласковой, родною | Она очистит вам дорогу! | И вы с той комнатой Икон | Душой своей придёте к Богу! # Молитвы Иконе Б-цы Царёвококшайская Мироносиц</s>
Крепко держимся за руки, смотрим вперёд, | И совсем забываем, что эта возможность | Нам даётся за крепкие тыл и надёжность, | И мы - не вопреки бедам - наоборот. # Мы не ищем себя...</s>
И вдруг раздаётся гром, | Удар идет за ударом. | В душе наступил раскол, | Душе стало слишком мало. # Воздух пахнет весной</s>
Знать, никуда | Нам от неё | Не деться!.. # Клюв грозы</s>
Из состраданья это мудрость | Ты создавал свою Богиню | В изящных, нежных, тонких линиях | Ты описал её всю хрупкость. # Из состраданья это мудрость</s>
Прочёл стихи «Ещё не вечер», | И очень рад я с ними встрече. | Твоим талантом стих отмечен, | А стиль красив и безупречен! # Ещё не вечер</s>
Папиросный дымок превратился в туман, | Оседая на листьях берез. | И кричала земля от полученных ран, | Покрываясь дорожками слез... # Папирос горький дым</s>
Я объехала весь свет | И скажу всем честно нет - | Нет красивей и сильней, | БлагоРодней и добрей! # Двадцать третье февраля Праздник - День Богатыря!</s>
И как ребёнок, | Я тобой очаровался, | Ты в неге пробудила мою страсть. | Я на слова любви твои попался, | Чтобы в тебе навечно запропасть. # в твоём плену...</s>
Жили были два солдата, | Закадычные друзья, | Только разные однако, | Объединила их война. # Два солдата</s>
Я знаю,Я другая,и молодой Цветаевой | Я не сумею быть, но Я иная | И,Вы,стихи мои не сможете забыть. # Другая</s>
Цепь островов, песчаный, тихий берег, | Лес Хойя-Бачу, Розуэлл, Эверест. | И край земли, где зацветает вереск, | Неповторимых и прекрасных мест, # Жизнь замыкает круг</s>
Вечереет за окном, | День безропотно крошится | И мечтает об одном – | Как бы в сумрак поместится. # Вечереет</s>
Придёт на Землю поросль другая | Без блуда, мата, пива, сигарет | И будут удивляться, изучая, | Спустя каких-то сотню тысяч лет… # Молитвы Иконе Б-цы Ключ разумения</s>
И помня, как меня в те времена | Ругала очень сильно моя мама. | Я так на дочь свою не нападала. | Я лишь давала ей свои рекомендации. | К моей косметике не прикасаться. # Африканский макияж</s>
К жизни не способный | Мотылёк, летит во тьму. | Ещё одну, ещё одну и по утру, | Оставив пьяного в бреду, | Его приколят перед пьяницей к столу. # Мотылёк</s>
Ты ушел, не мучаясь, я знаю. | Врач сказал: мы оба молодцы!.. | Редко, кто спокойно покидает | Этот мир, без фальши и тоски. # Сказ о родстве душ</s>
приставы решают задачи Керчи | оборотень мечтает о Рантель | когда делят крышку-молчи! | в черном цвете твоя цытадель # Пепел матери Эрл</s>
Он идёт по полям, по лесам, через горы | За далёкой и неуловимой мечтой, | Безразличны насмешки ему и укоры, | Он шагает вперёд, презирая покой. # Идущий</s>
Не пристало, сидеть в  тишине | Не пристало, кланяться пропасти | Солнце, терзает тело извне | Нервы  дубеют  от ужасов прошлого # Тени</s>
Тот чёрно-смоляной квадрат | Скрывает смысл большой Вселенной. | В ней обитает наш собрат, | Хранящий этот мир нетленный. # Чёрный квадрат</s>
Вся жизнь – борьба, а мы как на татами. | В ней Тьме нельзя и пяди нам отдать! | Лишь овладев искусством оригами, | мы в Битве этой станем побеждать. # Вся жизнь - борьба</s>
Я хочу награду в небесах!!! | Отказавшись от всего земного... | Всем спасибо, кто меня бросал, | Отдавая Кришне дорогому... # Я давно сбежала от людей...</s>
Пускай попрыгает чуть-чуть. | Ведь,не успеешь даже ахнуть, | А он уже собрался в путь. | Чтобы кого-то все же трахнуть. # Матерная</s>
Тебе так нравилось-нетронутое,чистое, | И всё равно чужое для тебя. | Такое маленькое,беззащитное, | Но честно и искренне любя. # Воспоминание</s>
Ой, над морем, морем синим, | Ветры буйны разыгрались. | А мы с милым, а мы с милым, | Ой, да слёзно расставались. # Плач морячки</s>
Не аристократ я, мещанин простой. | Буржуа и бюргер, был всю жизнь слугой | Своего желудка, унитаза я. | Ни одна принцесса не любИт меня! # Страдания по благородству происхождения</s>
Мальчик поет по-французски, учили в школе, | И, главное, никакого акцента, учили в школе, | И это все, как в тумане, приснилось, что ли, | И это все нереально, — пристанище боли. # Мальчик поет по-французски...</s>
Что вся дрожишь и в порыве любви | тянешься телом к сонному телу. | Вот уже в окнах полоски видны | первых лучей, вся прильнёшь неумело. # Вячеслав Левыкин, стихи Сон и чайки</s>
Утоли мою печаль, | Что терзает по ночам, | Пусть разлук | для нас не будет! # Страсти-страсти</s>
В том колодце утопил | Не одну свою корову | Тот, кто прежде и не пил | И имел характер ровный. # Не пускайте деревенских в города</s>
Только, если с головой поладить, | Можно суть задачи уяснить - | Чтобы автострады все наладить, | Надо дураков искоренить!!! # Дураки и дороги...</s>
И каждый ждал свои свершенья, | И март любви и красоты. | Усни сейчас с благословенья | Вновь прибывающей весны. # Гимн весне</s>
Если хочешь быть здоровым, | Отвори Иисусу дверцу, | Духа Истины Христовой | Обрети смиренным сердцем. # Если хочешь быть здоровым, отвори Иисусу сердце!</s>
Не мерцают звезды, не горит луна, | В сумраке бесцветном бродит тишина, | Тучи полонили томный небосвод, | Закрутивши с ветром бурный хоровод, # Ночь</s>
Поля цветут, растёт на поле рожь, | Она цветёт и этот день хорош. | Я выйду в поле, в поле чудеса | И далеко виднеются луга. # Воспоминание</s>
зайти в фейсбук пожалуй стоит | коль грусть начнёт одолевать | хоть отбавляй людей приличных | в графе вы можете их знать. # Если одиноко!</s>
Пр: Осенний поезд мчит | Всю ночь без остановки, | Твой телефон молчит, | Молчу тебе в ответ, # Осенний поезд мчит</s>
Ну, а когда узнали о президентских сроках, | Вернее, об отмене былых запретов их, | Сказали: вот так Путин! Пойдёт мужик далёко. | Опять при интересах останется своих. # Вирус вельзевула</s>
Сижу, смотрю я на луну, | Закинув кверху рот: | А вдруг, словлю звезду одну, | Тогда меня попрёт! # Крутой поэт</s>
Где боязнь сострадания | в иной душонке спит, | где жадности к богатству | рождают аппетит. # Настанет ли грядущее?</s>
С утра как все - трамваем на работу, | А вечером - идти гулять с детьми. | И всё с крестом, придумал с чем-то что-то, | Ну ты хоть дома-то его сними! # Крест</s>
Не отдавай ему весну, | Свою опять... | Чтоб вслушиваясь в тишину, | Его не ждать... # Не отдавай ему весну</s>
Во времени подчас бывают складки. | И в них живёт безвременье само... | Потомки Каина считают: всё в порядке! | Хотя в глазу у каждого – бельмо! # Потомки Каина эпохи кайнозоя...</s>
Сова же мудрая птица | В ЧГК её вручают лучшим знатокам | Чего же ей ночью не спится? | И клонит не в сон, а к стихам? # Сова</s>
Нет, не хочу я закрываться, | Преграды ставить от тебя. | Решила, лучше просто сдамся, | Так будет проще для меня. # Любовь ворвется не спросив...</s>
В отражении чужих зеркал, | Я вижу жизнь, я вижу власть. | Вода по склонам бежит в низ, | Вот так чувства зарождались у них. # Иллюзия любви</s>
Взглянул на звезды ты, | Все той же небывалой красоты, | И вслух сказал: | Не думал я, что так жесток обман бывал. # Письмо-ответ Зацепину</s>
Я не плачу мама, я не плачу!!! | Просто я хочу еще пожить!!! | Я ведь шел решать сюда задачи!!! | И за что хотят меня убить!??? # Памяти Беслана</s>
Ночной гость всё шествует в даль. | Он в окна, переглядками, всё смотрит. | В доме зажглась керосиновая лампа. И жаль, | Прям очень жаль, что ответом не накормит # Плачущий ангел</s>
Вопрос излишний! Это ясно! | Не можем! Значит это будет! | И пусть Господь свершит свой суд | И по заслугам всех осудит! # Молитвы Иконе Богородицы Тихвинская</s>
Машина не кузов везёт, а бидон, | И в этом бидоне мешает бетон. | Бетон – это тесто, чтоб строить дома, | И месит она это тесто сама. # Бетономешалка</s>
Слышу щебет птиц, | Парят в воздухе. | Мы не пали ниц, | Как подсолнухи. # Весна в городе...</s>
Печальной и болезненной, и строгой, | И всякий раз мне чудится опять, | Что мы идём с тобою по дороге, | А жизнь куда- то все несётся вспять. # Стихи</s>
Миндальные рощи, лаванда, сосна, кипарисы | Целебною силой питают алуштинский воздух, | От ветра и ливней по кругу её защищают: | Кастель, Аю-Даг, Роман-Кош, Чатыр-Даг, Демерджи. # Алустон</s>
Двадцать шесть миллионов | Поглотила война… | Память всем истреблённым. | И на все времена! # Война и Победа</s>
Не грусти о былом, | Не тяни все назад | И дорогу вперед сделай радугой! | Пусть завидует, кто пред тобой виноват, | И обиды уйдут с сердца надолго. # Жизнь продолжается</s>
Нежный локон в отблеске свечи, | Ее взгляд последний - на пределе, | Мастер может был бы излечим, | Если б... образа в углу висели! # Желтые, тревожные цветы</s>
Там где можно людей обирать | Свои люди посты занимают | Меморандумом всякую знать | От расправы судом прикрывают # Такаши Джин</s>
Не торопитесь обсуждать чужую жизнь, | В своей вначале лучше разберитесь. | Чтобы судить, нужно пройти весь путь, | Того, чей очернить старательно стремитесь. # А говорите за спиной</s>
Любовь, добро и красота. | Казалось бы, всё просто,всё наглядно. | Ан, нет, для многих это странно... | Им путь во тьме - обычная стезя. # Блуждающим в тумане представлений</s>
Слезой омоет все больные раны, | Затихнет птицей,сжавшейся в комок. | Отяжелевшим горестным дыханьем | Запрет надолго сердце на замок. # Душа</s>
И на Храмы набросились нехристи | Повалили на землю кресты; | Из щелей повылазила нечисть вся | На костях воздвигая мосты. # Развал Империи</s>
Хочется много тебе рассказать, | Что не одна ты причина страданий. | Год вот к концу, ну а мне догорать, | Кровь вся испита в пучине терзаний. # Монолог</s>
Местами я почувствую сомнение, | Местами буду страстно ждать, | Вернётся бумерангом обязательно, | И стану снова я спокойно спать. # Бумерангом</s>
Галактик звёздное шаманство | Нас неизвестностью манит, | Ведь их бездонное пространство | Всегда тянуло так магнит. # Время первых</s>
На цветах дрожащие дождинки | Искрятся нам в души самоцветом! | Мальвы-распрекрасные добром | Загружают души наши летом! # Молитвы Преп Иоанну Лествичнику</s>
Ты накануне обещала | Мне непременно позвонить. | Я ожидать звонка устала | И вышла в сад,чтоб побродить. # Ты накануне обещала</s>
Но нет же! Есть на Руси люди-герои! | Те, кто без страха стремятся к свободе. | Кто отдаёт свои силу и кровь! | За то, чтоб беда не вернулась б и вновь! # Ода Ленину</s>
... из окна многоэтажки, | любуюсь крышами домов, | частного сектора замашки, | различных цветов на вкус умов. # Из окна многоэтажки...</s>
Я под сердцем ли носила | своего робёночка - | эка выросла в нём сила, | сам крупней телёночка! # Удивление большое</s>
С ветки плавно слетела ворона | На облезлый, заржавленный крест. | Тишина на погосте огромном, | Но уже недостаточно мест. # Старый тромбонист Из Кладбищенских историй</s>
Тогда был я в армии, ты переехал, | С тобой разобраться я сразу не смог, | Но честью поклялся, что ты за потеху | Безудержным плачем ответишь в свой срок! # Месть</s>
Мне такое и во сне не снилось, | Звёздный мир я впитывал нутром. | Моё Эго со Вселенной слилось, | Не жалея вовсе о земном. # Метаморфозы с метемпсихозом</s>
Опекя заботой уважение показывай | Вредные мысли отбрось, не показывай | Источник рассвета это ты сам | Каков возведешь истины храм # Мир прекрасен без лжи</s>
Верен Ты всем Своим обещаньям, | Правосудие  Твой атрибут. | За Твой подвиг Голгофских страданий, | Агнцем Божьим Тебя назовут. # Царь царей</s>
Ты мой конь вороной, верный друг удалой, | Ты прости казака, если сможешь. | Что не смог уберечь от судьбы вот такой, | Сам не знаю, где голову сложишь. # По дороге степной</s>
Меж двух огней я жил. | Один меня лизнул. | И я сгорел, как жалкий мотылёк. | Карьеру строить я себе дерзнул. | Тщеславный ум в костёр меня увлёк. # Письма</s>
Прости меня, моя душа. | Прости мне чаяния и грёзы. | Прости за горести и слёзы. | Я не святая, я грешна... # Прости меня, моя душа</s>
Будут радости, печали, | Будут всяческие сложности,- | Чтобы дни не огорчали, | Возводя в возможности. # В окно стучится лето</s>
И легкость бытия вдруг стала ношею | Любовь былая - непосильный крест | И мы как будто призраки из прошлого | из  тех обетованных самых мест # Твои крылА...</s>
Сближает долго мёрзшие сердца – | Тепла желанье, близости приятной… | Любви огонь зажжётся, – необъятной, | Улыбкой милой – женского лица! # С весной - сравнимо женское тепло</s>
И попытка сбежать- сорвалась, | Ты всё также держишь за руку, | Полчаса потерпеть осталось, | Я учусь смотреть на разлуку... # Полчаса до разлуки</s>
Стихия эта, во знамение, | Соединит немало фаз, | И, проникая в изменение, | Нажмёт на поршень или газ. # Придёт конец зловещим культам</s>
Гладили по вашей голове - | Вас хвалили. | То, что с ними рядом вы несли - | Разделили. # Не забывайте руки целовать</s>
Всё резко обрубить, | Меня не находить. | Зачем же так жестоко? | Мне снова-снова одиноко. # Отрицание</s>
Моя душа в душе Природы! | Она и я частица Бога! | Кто в единении с Природой, | Открыта ясная дорога! # Молитвы Свят Феоктисту Архиеп Новгородскому</s>
А ты опять законы Смита | Натужно хочешь объяснить. | Твои, ученый, карты биты. | Сумей продать – сумеешь жить. # Богатый и умный</s>
Она касалась рукой луны. | Она особенная на свете. | И нет другой на земле, поверьте, | Слова плетущей из тишины. # Гульнаре касавшейся луны</s>
К нОчи стемнело на нашей скале, | Повисла летучая мышь на крыле, | Взвыл адскими звуками кто-то в лесу, | Выполз дракон посмотреть на красу... # Сказка о принцессе и драконе</s>
Люблю наш Русский лес | И летом, и зимой, | Когда стоит в пушистой | Теплой шубе снеговой! # Русский лес</s>
Она вибрирует во мне | С рассветом в унисон | И раздаётся в глубине | Души волшебный звон # День наползает...</s>
Словно небу, тебе улыбаюсь, | И тянусь, словно к солнца лучу. | Ты не думай, я так не прощаюсь, | Я к тебе прикоснуться хочу! # Не могу без тебя</s>
С отходом опять оживает народ, | Старпом - фору дал бы верблюду, | Не евши - умял в пять секунд антрекот, | Щетину сбрил мастер, и мессман поёт | На камбузе, моя посуду. # Раздраем в душе обернулась, хандрой...</s>
Давай из грязи выйдем милая, | И понесёмся до небес. | И закипит душа застылая, | И ней сварится этот бес! # Уйди скорей!</s>
Прости же, Небо и Земля нас, | Прости нас, Чистая Вода! | Клянёмся! Мы больше не будем | Губить Природу никогда! # Молитвы Иконе Б-цы Нечаянная радость</s>
Пришли гости дорогие. | А я в них души не чаю. | Все они мои родные. | В пояс кланяюсь.Встречаю. # Гости дорогие</s>
Всё пропало, как в обрыв упало, | но не буду сожалеть о том. | Безразлично, чтоб со мной ни стало. | Так гори, гори оно огнём! # Чаша неупиваемая</s>
Детишек одна поднимает, | Ей Бог дал троих молодцов, | Нередко она вспоминает , | Что дети от разных отцов. # Женская доля</s>
мне нечего носить, всё выпито до дна, | черчу ногой квадрат на кафельном полу, | с тобою вместе, только ты одна, | зима пройдёт, я летом утону. # я покурил</s>
Он много знаний ухватил, | Но лишь Любовь подарит Вечность… | Старался из последних сил | Преодолеть души беспечность. # Ступень</s>
Писала красочно, красиво, | Хранила в чувствах и словах. | И знала, что где положила - | Порядок есть в её делах. # Энциклопедия Души</s>
Нам  прохладно.  Тихо.  И  сердито. | В  синий  цвет  наряжена  земля. | Я  не  верю,  что  любовь  убита. | …Обо  мне  поэзия  твоя. # Любовь Зелёной Лилии...</s>
Над причалом-перроном - платочки-платки. | Место мокрое. Ёжики тонут в тумане. | Как в повешенной трубке – гудки и гудки… | Пустота в голове - словно дырка в кармане. # Поток</s>
Справедливости нам не сыскать | В мире алчном, суровом, враждебном, | А при тёплом местечке и хлебном | Не жалеть нужно глотку и рвать. # Разговор пьяного с собакой</s>
Процесс окончен, спор решен. | Любовь имеет место в жизни. | Но и никто не обделён. | Об это и не стоит мыслить. # Противовес</s>
Я вижу: сад благоухает | Соцветьем сказочных цветов, | Над ними бабочки порхают | И много разных мотыльков. # Я пенять на судьбу не вправе</s>
Признавайтесь в любви отцам, | Не боясь, не смущаясь. | Признавайтесь в любви отцам | Душами соприкасаясь. # Признавайтесь в любви отцам</s>
На одной только плитке своей, | Богател всей элиты быстрей. | Пенсионеров он просто гнобил, | Москвичей он совсем не любил. # Ошибки нельзя повторять!</s>
Пришел Он, чтобы быть распятым, | Оставшись в памяти Собой – | Да, безвозвратностью утраты, | Но Спасом для души людской. # Пасхальный Путь</s>
А быть может и он достучится, | И к нему незаметно и тихо | Прилетят те же чёрные птицы, | Заклюют, и с вещами на выход. # Достучаться</s>
Гордится есть чем, было бы здоровье, | На свадьбе бы у внуков погулять. | И чтоб ушли болезни, с ними горе, | Пришло желание в Солоу отдыхать. # Мужу</s>
Прошла седая пара | Вглубь леска. | Щекочет ребра бес, | Как видно, непоседам... # Прошла седая пара вглубь леска</s>
Я сед и стар ..., а ты всё так же молода! | И мне милы твои дома, твои заборы! | Жаль домик наш ещё в далёкие года | До оснаванья растащили суки-воры. # Ну что, Бульварная, встречай меня, встречай!</s>
В нашей жизни не осталось хмеля, | Светлого былого куража. | За неделей тянется неделя, | Сокращая срок — до рубежа... # Песочные часы</s>
Учится праправнучка Кати на пятёрки. | Платьев много у девчонки -нынче не война, | А она у матери просит гимнастёрку: | Быть в почётном карауле выбрана она. # Катина гимнастёрка</s>
Сплетаются, сплетаются слова | В замысловатые цветные кружева, | Узоры собираются, затем | Вплетаю бусины в них ярких тем. # Мечта о палантине</s>
Вы не поделитесь  проблемами с «родным» | Он не поймёт вас, что ни  говорите, | Вы не обниметесь при встрече с ним | И в космос вместе с ним не полетите. # Родня по крови</s>
Все комплименты | Меркнут пред ней! | Аплодисменты | Тут будут верней! # Девушка-солнце</s>
Пальто висело, пиджаки | И плащ шикарный из болоньи | И лаковые сапоги | В углу стояли для сестры # Шифоньер</s>
Лицо чадрой закрыв, | блоху подковывать, | и в пятки вся | уйдёт её/твоя/ душа. # Неисправимое</s>
Ему столько лет, | что достаточно подержаться | за обожания объект | и страшно облажаться. # Что стар, что мал</s>
Одинокость ... | Этой жизни плен | И кажется,что всё без перемен. # Одинокость...</s>
Кто слаб, податлив, прост, | Не груб и не жесток, | И только небо решает, | Каков нам выдан срок. # Дождь</s>
В  боях  пропали  тысячи  людей | Остались  неизвестными  могилы, | Какое  горе, смерть  для  матерей | И  кто  им  даст  для  жизни  новой  силы? # Сборник песен - Воркута - Ленинград</s>
Наполнить сердце тёплою молитвой. | За близких, за болящих, за страну. | Борьба с нечистым - наше поле битвы. | С времён Адама он ведёт войну. # На ветках тополей Господь выводит вязь</s>
По щекам, по ладоням прижатым | Капли выбрались вдруг на свободу, | И теперь, как в пути с провожатым, | Станет легче развеять невзгоду. # Искры веры</s>
А в квартире номер раз | Дядя Костя жил у нас, | Но все звали «Константиныч». | Было у него пластинок # Музыка родного дома</s>
Непогодой встречаешь утро, | Мутно тянуться дни-провода. | Невеселым взглядом-понуро, | Смотришь скучно в людские дома. # Плачет весна</s>
слеза на щеке,и голос дрожит, | но никто не узнает и не прибежит. | не позволишь жалеть,информация-тайна. | пароль не доступен,это все не случайно! # Надежда</s>
Рады стараться отразить себя за деньги  - | Признаться в том, что правил вовсе нет. | Не важно им, что в голову их взбрендит. | Важнее то, что подадут им на обед. # В плену навязчивой рекламы ширпотреба</s>
Но, видимо, им не договориться. | И устремляя взгляды в небеса, | им трудно за живых, за нас молиться. | Хотя бы каждый день по полчаса. # Ваганьково</s>
Не важно что ты не права | Ведь я не прав в который раз | Любви волшебные слова | Я прошепчу тебе сейчас, # И ничто другое и никто другой</s>
А я из пластика. | Сделан для игры. | Не сломай меня, | И никому не дари. # А я из пластика</s>
От семафора исходит | свет незнакомого страха встреч. | Осторожно впиваюсь губами | в полуяблоко, полугрех. # Эпитафия полусчастью</s>
У них нет законной орбиты, | Летают они кто куда. | Бывает за шалости биты, | Когда их поймает звезда. # Планеты малышки</s>
Но, при этом второсортными | Вовчик, вдруг - славян назвал! | В чём же разность с держимордами | У того, кто так сказал? # Альтруист</s>
Искромсало солнце тучи, | словно лёд, | Тронулся по небу первый | ледоход. # Розовый закат</s>
Как пауки мы в стеклянной банке, | Грызем друг друга, жалим в ответ. | Земля, уставшая от перебранки, | Прервать ведь может эксперимент… # Одумайтесь...</s>
Он солдатом был Третьего Рейха, | Но приказ получив – расстрелять, | Он сознательно бросил винтовку, | Чтобы в строй сербских жителей стать! # Молитвы Преп Пахомию Кенскому</s>
Устала баба от давленья | Мужской несбыточной мечты | И написала объявленье: | «Такого мужа ищешь ты! # Он в сексе заводной</s>
И и и | Мама... Прости | Мама, прости... # Мама</s>
иль в правде иль во лжи пройдёт твой век... | иль в ад иль в рай - твоя дорога. | Коль Богу послужил , ты - человек, | ну, а коль нет, не будешь с Богом. # Вам выбирать...</s>
Век Золотой настанет на Земле: | Народ свободный Господа прославит, | Землёй Царь Один вечно будет править, | Сам Бог-Отец жить будет на Земле! # Земля вступает в Золотой свой Век!</s>
Говорят, что ревизор | К нам приедет скоро. | А у нас бардак... Позор! | И бумажек - горы! # Ревизор</s>
Мечтал, мечтал. И вот, с небес спустился. | И в даль гляжу на улицу свою, | а на неё тут ветер навалился | и гонит вскачь воздушную струю. # Апрельский ветер</s>
Прощают и пронзают сердце тех, | Чей дух не может возродиться в теле. | Посланники стихий Земли идут: | Их песни всю планету облетели. # Они идут из пламени огня</s>
Вот прошёл ещё год, сокращается жизнь, | мы приблизились к страшной кончине. | От мирской суеты поскорей откажись | и к духовной приближься вершине. # Поторопитесь, время пролетает</s>
Не поддавался фальши я, вранью: | Молитвой разделял грехи и правду, | Ведь в этом нахожу теперь отраду – | И день, и ночь теперь всегда люблю. # День и ночь</s>
и мила мне осень, | мил  мне тёплый май. | я его не брошу, | хоть меня ругай! # Родина</s>
И стая скрылась в бури белой. | И одиночка заумолк. | Не нравилось ему ни тело, | Ни то, что он всего лишь волк. # Баллада о Белом Волке</s>
Снова вечер наступает, | Снова ласковый закат! | Мою душу согревает | Восхитительный твой взгляд! # Вновь весенних птичек пенье!</s>
Краюшку взять да отщипнуть... | Эх, жаль росточком слишком мал. | Быть может дедушке шепнуть, | Чтоб он мне палочкой достал? # Хлебные облака</s>
Ныне время- затихли звуки, | солнце встало и замер мир, | ныне Бог мой простёрши руки | кровь свою за меня пролил; # Ныне время</s>
И ты, угрюмый и печальный | В воды заглядываешь гладь, | Река запомнит взгляд прощальный | Любви, упавшей в водопад. # Цветы не сорваны тобою</s>
Но когда в костре сгорать я буду , | Я тебя позвать с собой - не позабуду . | И я знаю : ты меня спасёшь , | В пламя жизни нашей унесёшь . # Окажись здесь рядом, на земле моей!</s>
Своё я вижу отраженье, | Печальный взор, румянец щёк, | Цветов и трав с волной скольженье, | Мне чудится, что я цветок. # Нарцисс</s>
Я поплачу о вас, родные, | Когда в мир вы уйдёте иной, | Упокоившись в братской могиле, | На земле, где я стала чужой... # Без слез</s>
Но так как сам он тоже был | Довольно-таки странен | То пользы никакой не приобрел # Странный камень</s>
Дождик слаб ,какая тяжесть.. | Еле выдавил слезу. | А душа от чёрной сажи | Как отмылась бы в грозу. # Сытый дождь</s>
Жаром дыханья! Святых поцелуев! | В сладкие точки. Колотится дрожь, | Звезды глядят на двоих, салютуют, | Мужского и женского, танец хорош! # Берегите своих любимых, без них вы пропадёте!</s>
То ли снега нанесло, | Как назло, | То ли буря, то ли сель – | Всё в кисель. # Ни туда и ни сюда</s>
Помнишь как было? Как все с нами было? | Казалась единой Вся наша судьба. | Цыганка на картах Нам счастье дарила. | Не сбылись гаданья. Ошиблась она. # Помнишь как было?</s>
